구분,살인,강도,강간·추행,절도,폭력
중부,0,1,1,41,19
종로,0,0,3,17,13
남대문,0,0,0,16,7
서대문,0,7,10,105,123
혜화,0,0,5,47,20
용산,0,0,3,50,39
성북,0,0,9,74,113
동대문,0,0,6,103,98
마포,0,0,16,167,156
영등포,0,2,10,113,142
성동,0,1,11,83,60
동작,0,6,17,88,141
광진,0,0,8,155,154
서부,0,0,2,119,84
강북,3,1,5,84,130
금천,0,0,5,79,95
중랑,0,0,12,92,146
강남,0,0,6,48,34
관악,0,2,13,140,195
강서,0,4,11,137,181
강동,0,0,9,155,194
종암,0,0,2,54,36
구로,0,6,10,112,176
서초,0,1,14,70,76
양천,0,0,15,115,145
송파,0,1,15,173,166
노원,0,0,13,146,203
방배,0,0,2,19,16
은평,0,0,12,201,155
도봉,0,0,4,81,105
수서,0,0,14,44,87
